Mesh;Loadcase;LOAD_N;SIG_0_ABS;SIG_0;sigma0;m;V_mesh;A_mesh;Pf_mesh;S_mesh;VF_Gauss26;PF_Gauss26
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;30;0.00923537464;;0.8548686578269221;119.49167;0.00923537464;0.8548686578269221
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;31;0.00878350064;;0.8884723341001498;119.49167;0.00878350064;0.8884723341001498
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;32;0.00836706908;;0.9176489662850718;119.49167;0.00836706908;0.9176489662850718
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;33;0.00798231736;;0.9419375047225124;119.49167;0.00798231736;0.9419375047225124
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;34;0.00762597704;;0.9611943238909568;119.49167;0.00762597704;0.9611943238909568
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;35;0.00729509816;;0.9756215087067086;119.49167;0.00729509816;0.9756215087067086
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;36;0.00698724248;;0.9857457572220696;119.49167;0.00698724248;0.9857457572220696
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;37;0.0067002056;;0.9923310657872042;119.49167;0.0067002056;0.9923310657872042
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;38;0.00643207272;;0.9962538584414046;119.49167;0.00643207272;0.9962538584414046
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;39;0.00618107196;;0.9983640198575;119.49167;0.00618107196;0.9983640198575
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;40;0.0059457738;;0.99937275790994;119.49167;0.0059457738;0.99937275790994
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;41;0.00572480588;;0.9997932619428266;119.49167;0.00572480588;0.9997932619428266
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;42;0.00551696356;;0.9999428417082148;119.49167;0.00551696356;0.9999428417082148
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;43;0.00532121724;;0.9999871190296448;119.49167;0.00532121724;0.9999871190296448
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;44;0.00513653924;;0.9999977112942792;119.49167;0.00513653924;0.9999977112942792
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;45;0.00496214628;;0.9999996916765792;119.49167;0.00496214628;0.9999996916765792
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;46;0.00479720252;;0.9999999699033146;119.49167;0.00479720252;0.9999999699033146
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;47;0.00464100716;;0.9999999979812252;119.49167;0.00464100716;0.9999999979812252
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;48;0.00449294272;;0.9999999999125476;119.49167;0.00449294272;0.9999999999125476
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;49;0.00435242196;;0.9999999999977242;119.49167;0.00435242196;0.9999999999977242
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;50;0.00421892012;;0.9999999999999672;119.49167;0.00421892012;0.9999999999999672
12x12;PWH-400x400x1-PIA-V-AVG;40.0;True;100.0;100.0;1;53530.4296;;1.0;119.566513;53530.4296;1.0
12x12;PWH-400x400x1-PIA-V-AVG;40.0;True;100.0;100.0;2;17907.89648;;1.0;119.566513;17907.89648;1.0
12x12;PWH-400x400x1-PIA-V-AVG;40.0;True;100.0;100.0;3;5991.39064;;1.0;119.566513;5991.39064;1.0
12x12;PWH-400x400x1-PIA-V-AVG;40.0;True;100.0;100.0;4;2004.602052;;1.0;119.566513;2004.602052;1.0
12x12;PWH-400x400x1-PIA-V-AVG;40.0;True;100.0;100.0;5;670.75824;;1.0;119.566513;670.75824;1.0
12x12;PWH-400x400x1-PIA-V-AVG;40.0;True;100.0;100.0;6;224.4873808;;1.0;119.566513;224.4873808;1.0
12x12;PWH-400x400x1-PIA-V-AVG;40.0;True;100.0;100.0;7;75.1638336;;1.0;119.566513;75.1638336;1.0
12x12;PWH-400x400x1-PIA-V-AVG;40.0;True;100.0;100.0;8;25.19394876;;1.0;119.566513;25.19394876;1.0
